id,kode,nama,level_id,is_summary
378,2.01.03.04.,Bidang Kesehatan Hewan dan Kesehatan Masyarakat Veteriner,4,0
379,2.01.03.05.,Bidang Pengembangan Usaha,4,0
380,2.01.03.06.,Balai Pengembangan Perbibitan Ternak Unggas,4,0
381,2.01.03.07.,Balai Pengembangan Perbibitan Ternak Sapi Potong,4,0
474,2.01.03.08.,Balai Pengembangan Pembibitan Ternak Domba Margawati,4,0
383,2.01.03.09.,Balai Penyidikan Penyakit Hewan dan Kesehatan Masyarakat Veteriner Cikole Lembang,4,0
384,2.01.03.10.,Balai Pengujian Mutu Pakan Ternak Cikole Lembang,4,0
385,2.01.03.11.,Balai Pelatihan Peternakan Cikole Lembang,4,0
386,2.01.03.12.,Balai Perbibitan dan Pengembangan Inseminasi Buatan Ternak Sapi Perah BuniKasih,4,0
387,2.01.03.13.,Balai Pengembangan Perbibitan Ternak Sapi Perah dan Hijauan Makanan Ternak  Cikole Lembang,4,0
501,2.01.04.,"Sekretariat Badan Koordinasi Penyuluhan Pertanian, Perikanan, dan Kehutanan",3,1
470,2.01.04.01.,Bagian Tata Usaha,4,0
478,2.01.04.02.,Bidang Pertanian,4,0
479,2.01.04.03.,Bidang Perikanan,4,0
480,2.01.04.04.,Bidang Kehutanan,4,0
388,2.02.,Kehutanan,2,1
389,2.02.01.,Dinas Kehutanan,3,1
390,2.02.01.01.,Sekretariat,4,0
391,2.02.01.02.,Bidang Planologi,4,0
392,2.02.01.03.,Bidang Bina Konservasi,4,0
393,2.02.01.04.,Bidang Bina Rehabilitasi Hutan dan Lahan,4,0
394,2.02.01.05.,Bidang Bina Produksi dan Usaha Kehutanan,4,0
395,2.02.01.06.,Balai Pengawasan dan Pengendalian Hasil Hutan,4,0
396,2.02.01.07.,Balai Pengelolaan Taman Hutan Raya Ir. H. Djuanda,4,0
397,2.02.01.08.,Balai Rehabilitasi Lahan dan Konservasi Tanah,4,0
398,2.03.,Energi dan Sumberdaya Mineral,2,1
399,2.03.01.,Dinas Energi dan Sumber Daya Mineral,3,1
400,2.03.01.01.,Sekretariat,4,0
401,2.03.01.02.,Bidang Listrik dan Pemanfaatan Energi,4,0
402,2.03.01.03.,"Bidang Mineral, Geologi dan Air Tanah",4,0
403,2.03.01.04.,Bidang Panas Bumi dan Migas,4,0
404,2.03.01.05.,Bidang Bina Usaha dan Kerjasama,4,0
405,2.03.01.06.,UPTD Energi dan Sumber Daya Mineral Wilayah Pelayanan I  Cianjur,4,0
406,2.03.01.07.,UPTD Energi dan Sumber Daya Mineral Wilayah Pelayanan II  Purwakarta,4,0
407,2.03.01.08.,UPTD Energi dan Sumber Daya Mineral Wilayah Pelayanan III Bandung,4,0
408,2.03.01.09.,UPTD Energi dan Sumber Daya Mineral Wilayah Pelayanan IV Tasikmalaya,4,0
409,2.03.01.10.,UPTD Energi dan Sumber Daya Mineral Wilayah Pelayanan V Cirebon,4,0
410,2.03.01.11.,Balai Pengujian Energi dan Sumber Daya Mineral,4,0
411,2.04.,Pariwisata,2,1
412,2.05.,Kelautan dan Perikanan,2,1
413,2.05.01.,Dinas Perikanan dan Kelautan,3,1
414,2.05.01.01.,Sekretariat,4,0
415,2.05.01.02.,Bidang Perikanan Budidaya,4,0
416,2.05.01.03.,Bidang Perikanan Tangkap,4,0
417,2.05.01.04.,Bidang Kelautan,4,0
418,2.05.01.05.,Bidang Pengembangan Usaha,4,0
419,2.05.01.06.,Balai Pengembangan Benih Ikan Air Tawar,4,0
420,2.05.01.07.,Balai Pengembangan Benih Ikan Air Payau dan Laut,4,0
421,2.05.01.08.,Balai Pengembangan Budi Daya Air Tawar,4,0
422,2.05.01.09.,Balai Pengembangan Budi Daya Air Payau dan Laut,4,0
423,2.05.01.10.,Balai Pengembangan Teknologi Penangkapan dan Kelautan,4,0
424,2.05.01.11.,Balai Pengujian dan Pembinaan Mutu Hasil Perikanan,4,0
425,2.05.01.12.,Balai Pelabuhan Perikanan Pantai,4,0
426,2.05.01.13.,Balai Pelestarian Perikanan Perairan Umum,4,0
427,2.05.01.14.,Balai Pengembangan Produksi Budi Daya Air Tawar,4,0
428,2.06.,Perdagangan,2,1
429,2.07.,Industri,2,1
430,2.07.01.,Dinas Perindustrian dan Perdagangan,3,1
431,2.07.01.01.,Sekretariat,4,0
432,2.07.01.02.,"Bidang Industri Logam, Mesin, Alat Transportasi, Aneka Tekstil, dan Telematika (ILMATATTEL)",4,0
433,2.07.01.03.,"Bidang Industri Aneka, Kerajinan dan Kimia",4,0
434,2.07.01.04.,Bidang Industri Agro,4,0
435,2.07.01.05.,Bidang Perdagangan Dalam Negeri,4,0
436,2.07.01.06.,Bidang Perdagangan Luar Negeri,4,0
437,2.07.01.07.,Bidang Promosi dan Kerjasama Industri dan Perdagangan,4,0
438,2.07.01.08.,Balai Kemetrologian Bandung,4,0
439,2.07.01.09.,Balai Pengembangan Perindustrian,4,0
440,2.07.01.10.,Balai Kemetrologian Bogor,4,0
441,2.07.01.11.,Balai Kemetrologian Karawang,4,0
460,2.07.01.12.,Balai Kemetrologian Cirebon,4,0
461,2.07.01.13.,Balai Kemetrologian Tasikmalaya,4,0
442,2.08.,Ketransmigrasian,2,1
